source_id	derivative_id	subjects_num	sessions_num	output_num	output_size	nifti_num	nifti_size	html_num
ds004496	MRIQC-24.0.2	30	115	2406	59442740	0	0	0
ds004496	fMRIPrep-23.2.1	30	230	18748	33223623122	4292	9054056052	0
